,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,5368,Freeway,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
1,4910,Laser Blast,2600,1981.0,Action,Activision,0.37,0.02,0.0,0.0,0.39
2,5802,Astroblast,2600,1981.0,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31
3,6023,Fast Food,2600,1981.0,Action,Unknown,0.27,0.02,0.0,0.0,0.29
4,8461,Armor Ambush,2600,1981.0,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17
5,2942,King Kong,2600,1981.0,Action,Tigervision,0.65,0.04,0.0,0.01,0.69
6,7152,Reactor,2600,1981.0,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22
7,4519,Barnstorming,2600,1981.0,Action,Activision,0.4,0.02,0.0,0.0,0.43
8,6868,Front Line,2600,1981.0,Action,Taito,0.22,0.01,0.0,0.0,0.24
9,4017,Raiders of the Lost Ark,2600,1981.0,Action,Atari,0.46,0.03,0.0,0.01,0.5
10,5566,Fireball,2600,1981.0,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33
11,3410,Smurf: Rescue In Gargamel's Castle,2600,1981.0,Action,Coleco,0.55,0.03,0.0,0.01,0.59
12,4786,Mouse Trap,2600,1981.0,Action,Coleco,0.38,0.02,0.0,0.0,0.4
13,7186,Crazy Climber,2600,1981.0,Action,Atari,0.21,0.01,0.0,0.0,0.22
14,3046,Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
15,736,Frogger,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2
16,2234,Spider-Man,2600,1981.0,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
17,866,E.T.: The Extra Terrestrial,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97
18,4969,Airlock,2600,1981.0,Action,Data Age,0.36,0.02,0.0,0.0,0.39
19,5129,Dragonfire,2600,1981.0,Action,Imagic,0.35,0.02,0.0,0.0,0.37
20,4404,Jawbreaker,2600,1981.0,Action,Tigervision,0.42,0.03,0.0,0.0,0.45
21,2518,Custer's Revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82
22,5391,Fantastic Voyage,2600,1981.0,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
23,5248,Frogs And Flies,2600,1981.0,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
24,2598,Alien,2600,1981.0,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
25,2666,Air Raid,2600,1981.0,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
26,8760,Pressure Cooker,2600,1982.0,Action,Activision,0.14,0.01,0.0,0.0,0.15
27,5775,Mountain King,2600,1982.0,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
28,3217,X-Man,2600,1982.0,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63
29,7151,Assault,2600,1982.0,Action,Bomb,0.21,0.01,0.0,0.0,0.22
30,4803,Congo Bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4
31,5383,Alien's Return,2600,1982.0,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34
32,5660,Frankenstein's Monster,2600,1982.0,Action,Data Age,0.3,0.02,0.0,0.0,0.32
33,5397,Bank Heist,2600,1982.0,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
34,4018,Gauntlet,2600,1982.0,Action,Answer Software,0.46,0.03,0.0,0.01,0.5
35,3081,Keystone Kapers,2600,1982.0,Action,Activision,0.62,0.04,0.0,0.01,0.66
36,8460,Death Trap,2600,1982.0,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17
37,3718,Action Force,2600,1982.0,Action,CPG Products,0.5,0.03,0.0,0.01,0.54
38,3268,Halloween,2600,1982.0,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
39,6147,Polaris,2600,1982.0,Action,Tigervision,0.26,0.02,0.0,0.0,0.28
40,6730,Porky's,2600,1982.0,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0,0.25
41,6267,Mr. Do!,2600,1982.0,Action,Coleco,0.26,0.02,0.0,0.0,0.27
42,9108,Krull,2600,1982.0,Action,Atari,0.13,0.01,0.0,0.0,0.14
43,5066,Gravitar,2600,1982.0,Action,Atari,0.35,0.02,0.0,0.0,0.38
44,8459,Mr. Do!'s Castle,2600,1983.0,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17
45,3955,Midnight Magic,2600,1983.0,Action,Atari,0.47,0.03,0.0,0.01,0.5
46,5561,Frogger II: Threeedeep!,2600,1983.0,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33
47,5384,Frostbite,2600,1983.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
48,4269,Gremlins,2600,1983.0,Action,Atari,0.43,0.03,0.0,0.0,0.46
49,6009,Dolphin,2600,1983.0,Action,Activision,0.27,0.02,0.0,0.0,0.29
50,2674,Crystal Castles,2600,1983.0,Action,Atari,0.72,0.04,0.0,0.01,0.77
51,940,Pinball,NES,1984.0,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
52,375,Kung Fu,NES,1985.0,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
53,15870,Strongest Tokyo University Shogi DS,DS,1985.0,Action,Mycom,0.0,0.0,0.02,0.0,0.02
54,128,The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
55,3534,The Mysterious Murasame Castle,NES,1986.0,Action,Nintendo,0.0,0.0,0.57,0.0,0.57
56,1793,Commando,NES,1986.0,Action,Capcom,0.71,0.16,0.25,0.03,1.14
57,549,Metroid,NES,1986.0,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
58,1774,Doraemon,NES,1986.0,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15
59,1119,Ghosts 'n Goblins,NES,1986.0,Action,Capcom,0.74,0.26,0.61,0.03,1.64
60,4196,Commando,2600,1987.0,Action,Activision,0.44,0.02,0.0,0.0,0.47
61,3120,Kung-Fu Master,2600,1987.0,Action,Activision,0.6,0.04,0.0,0.01,0.65
62,6941,Rampage,2600,1988.0,Action,Activision,0.22,0.01,0.0,0.0,0.24
63,1248,Mega Man 2,NES,1988.0,Action,Capcom,0.93,0.15,0.42,0.01,1.51
